cap_shape,Cap_surface,bruises,category
Bell,Smooth,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Smooth,Bruises,Edible
Bell,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Flat,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Flat,Fiberous,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Poisonous
Bell,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Sunken,Fiberous,NoBruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Flat,Fiberous,NoBruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Smooth,NoBruises,Edible
Convex,Scaly,Bruises,Edible
Sunken,Fiberous,NoBruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Bell,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Fiberous,Bruises,Edible
Bell,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Sunken,Fiberous,NoBruises,Edible
Flat,Fiberous,NoBruises,Edible
Convex,Smooth,Bruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Bell,Smooth,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Smooth,Bruises,Edible
Flat,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Poisonous
Bell,Smooth,Bruises,Edible
Bell,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Fiberous,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Flat,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Sunken,Fiberous,NoBruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Poisonous
Convex,Scaly,Bruises,Edible
Flat,Fiberous,Bruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Bell,Smooth,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Convex,Scaly,Bruises,Poisonous
Convex,Scaly,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Fiberous,Bruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Poisonous
Flat,Fiberous,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Smooth,NoBruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Poisonous
Sunken,Fiberous,NoBruises,Edible
Bell,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Convex,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Fiberous,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Flat,Smooth,NoBruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Flat,Scaly,Bruises,Poisonous
Convex,Smooth,Bruises,Edible
Flat,Smooth,Bruises,Poisonous
Convex,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Bell,Scaly,Bruises,Edible
Sunken,Fiberous,NoBruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Convex,Fiberous,NoBruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Flat,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Convex,Fiberous,NoBruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Fiberous,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Convex,Scaly,Bruises,Edible
Convex,Fiberous,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Convex,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Fiberous,Bruises,Edible
Flat,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Fiberous,Bruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Bell,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Bell,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Fiberous,Bruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Flat,Fiberous,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Convex,Fiberous,Bruises,Edible
Convex,Smooth,Bruises,Edible
Flat,Smooth,NoBruises,Edible
Convex,Fiberous,NoBruises,Edible
Flat,Smooth,NoBruises,Edible
Flat,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Sunken,Fiberous,NoBruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Convex,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Convex,Fiberous,NoBruises,Edible
Flat,Smooth,NoBruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Fiberous,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Sunken,Fiberous,NoBruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Smooth,Bruises,Edible
Sunken,Fiberous,NoBruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Convex,Smooth,NoBruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Fiberous,Bruises,Edible
Convex,Smooth,Bruises,Poisonous
Convex,Scaly,Bruises,Edible
Convex,Smooth,NoBruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Convex,Smooth,Bruises,Poisonous
Bell,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Bell,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Smooth,NoBruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Bell,Scaly,Bruises,Edible
Convex,Fiberous,Bruises,Edible
Convex,Smooth,Bruises,Poisonous
Convex,Scaly,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Flat,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Edible
Flat,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Smooth,NoBruises,Edible
Flat,Fiberous,NoBruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Bell,Smooth,Bruises,Edible
Flat,Smooth,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Fiberous,Bruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Flat,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Fiberous,Bruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Fiberous,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Smooth,NoBruises,Edible
Bell,Smooth,Bruises,Edible
Bell,Smooth,Bruises,Edible
Flat,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Flat,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Fiberous,Bruises,Edible
Sunken,Fiberous,NoBruises,Edible
Flat,Smooth,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Convex,Fiberous,NoBruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Flat,Smooth,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Flat,Smooth,Bruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Sunken,Fiberous,NoBruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Fiberous,Bruises,Edible
Flat,Smooth,Bruises,Poisonous
Convex,Smooth,Bruises,Poisonous
Flat,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Poisonous
Convex,Smooth,NoBruises,Edible
Flat,Smooth,NoBruises,Edible
Convex,Fiberous,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Flat,Fiberous,NoBruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Fiberous,Bruises,Edible
Sunken,Fiberous,NoBruises,Edible
Convex,Fiberous,NoBruises,Edible
Convex,Fiberous,NoBruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Smooth,Bruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Poisonous
Flat,Fiberous,NoBruises,Edible
Bell,Smooth,Bruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Flat,Scaly,Bruises,Edible
Flat,Smooth,Bruises,Poisonous
Convex,Fiberous,NoBruises,Edible
Bell,Scaly,Bruises,Edible
Sunken,Fiberous,NoBruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Convex,Scaly,Bruises,Poisonous
Convex,Scaly,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Convex,Fiberous,Bruises,Edible
Convex,Smooth,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Convex,Fiberous,NoBruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Convex,Fiberous,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Convex,Scaly,Bruises,Edible
Flat,Smooth,NoBruises,Edible
Convex,Smooth,Bruises,Poisonous
Bell,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Flat,Fiberous,Bruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Poisonous
Convex,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Sunken,Fiberous,NoBruises,Edible
Flat,Fiberous,NoBruises,Edible
Sunken,Fiberous,NoBruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Poisonous
Convex,Smooth,NoBruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Convex,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Poisonous
Bell,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Convex,Smooth,Bruises,Poisonous
Convex,Smooth,NoBruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Flat,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Smooth,NoBruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Flat,Smooth,NoBruises,Edible
Convex,Fiberous,NoBruises,Edible
Flat,Smooth,NoBruises,Edible
Convex,Smooth,Bruises,Poisonous
Convex,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Bell,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Sunken,Fiberous,NoBruises,Edible
Flat,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Fiberous,Bruises,Edible
Flat,Scaly,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Convex,Smooth,Bruises,Edible
Flat,Fiberous,Bruises,Edible
Sunken,Fiberous,NoBruises,Edible
Bell,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Fiberous,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Smooth,NoBruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Fiberous,Bruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Smooth,Bruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Convex,Scaly,Bruises,Poisonous
Convex,Smooth,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Convex,Smooth,Bruises,Poisonous
Bell,Smooth,Bruises,Edible
Bell,Smooth,Bruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Flat,Fiberous,NoBruises,Edible
Convex,Fiberous,Bruises,Edible
Flat,Scaly,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Flat,Fiberous,NoBruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Fiberous,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Fiberous,Bruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Fiberous,NoBruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Smooth,NoBruises,Edible
Convex,Scaly,Bruises,Poisonous
Bell,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Convex,Smooth,Bruises,Poisonous
Flat,Smooth,NoBruises,Edible
Convex,Smooth,Bruises,Poisonous
Flat,Fiberous,NoBruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Sunken,Fiberous,NoBruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Flat,Smooth,NoBruises,Edible
Convex,Smooth,Bruises,Edible
Bell,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Sunken,Fiberous,NoBruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Edible
Flat,Smooth,Bruises,Edible
Convex,Smooth,NoBruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Convex,Smooth,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Convex,Smooth,Bruises,Poisonous
Convex,Scaly,Bruises,Poisonous
Convex,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Fiberous,Bruises,Edible
Convex,Scaly,Bruises,Poisonous
Convex,Smooth,Bruises,Edible
Convex,Fiberous,NoBruises,Edible
Convex,Fiberous,NoBruises,Edible
Bell,Smooth,Bruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Flat,Scaly,Bruises,Edible
Convex,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Bell,Scaly,Bruises,Edible
Convex,Smooth,Bruises,Poisonous
